year,scenario,value,lower,upper
2025,pessimistic,48.94505494505492,45.0,52.89010989010984
2025,base,51.44505494505492,47.5,55.39010989010984
2025,optimistic,55.44505494505492,51.5,59.39010989010984
2026,pessimistic,51.24835164835176,44.25,58.246703296703515
2026,base,53.74835164835176,46.75,60.746703296703515
2026,optimistic,57.74835164835176,50.75,64.74670329670352
2027,pessimistic,52.801648351648325,42.75,62.85329670329665
2027,base,55.301648351648325,45.25,65.35329670329665
2027,optimistic,59.301648351648325,49.25,69.35329670329665
